Store_ID,Month,Location_Type,Is_Festival_Month,Parking_Available,Digital_Ad_Spend_K,TV_Ad_Spend_K,Radio_Ad_Spend_K,Print_Ad_Spend_K,Stockout_Rate_pct,Monthly_Sales_K
FM1000,2024-06,Suburban,0,1,42.8,25.3,15.1,6.2,8.1,1286.0
FM1001,2024-07,Urban,0,1,43.1,37.3,18.0,15.7,3.7,1530.8
FM1002,2024-07,Suburban,0,0,23.0,17.7,8.5,6.6,16.0,808.1
FM1003,2024-07,Urban,0,1,35.5,26.7,9.5,11.4,8.3,1609.8
FM1004,2024-01,Metro,0,1,43.2,40.2,13.7,18.6,10.8,1715.6
FM1005,2024-12,Suburban,0,1,33.0,39.2,18.5,6.4,6.8,986.2
FM1006,2024-12,Suburban,0,0,21.7,15.6,4.7,7.8,5.6,763.4
FM1007,2024-08,Suburban,0,0,18.4,18.0,7.2,4.2,4.1,614.4
FM1008,2024-01,Metro,0,0,42.0,52.6,24.3,15.7,16.5,2017.1
FM1009,2024-05,Urban,0,1,41.5,33.2,17.7,9.3,14.5,1330.6
FM1010,2024-09,Urban,0,1,45.6,38.8,12.5,9.1,2.8,1288.8
FM1011,2024-09,Suburban,0,1,22.9,17.6,8.1,7.9,13.6,857.8
FM1012,2024-03,Urban,0,0,34.5,36.6,11.7,6.0,7.8,1654.2
FM1013,2024-10,Suburban,0,1,28.2,26.3,11.8,11.3,0.8,926.9
FM1014,2024-12,Urban,0,1,40.1,29.3,9.1,9.6,9.7,1403.1
FM1015,2024-07,Metro,0,0,47.6,52.3,12.9,15.7,2.8,1980.5
FM1016,2024-05,Urban,0,1,44.9,38.4,16.8,17.4,4.2,1413.9
FM1017,2024-07,Metro,0,0,53.4,39.7,15.1,8.2,12.7,1834.6
FM1018,2024-01,Suburban,1,1,28.9,20.2,10.9,10.5,5.0,658.9
FM1019,2024-07,Urban,0,0,35.4,28.8,9.4,8.7,16.1,1203.4
FM1020,2024-01,Suburban,0,1,29.9,17.1,11.2,8.0,12.0,814.3
FM1021,2024-01,Urban,1,1,30.8,28.9,16.0,6.4,15.1,1370.1
FM1022,2024-07,Suburban,0,1,31.1,23.6,11.2,9.0,11.3,734.7
FM1023,2024-07,Suburban,0,1,13.6,13.1,6.5,4.9,15.7,983.5
FM1024,2024-12,Suburban,0,1,20.9,18.5,6.3,5.7,6.8,968.8
FM1025,2024-07,Metro,1,1,45.5,43.5,17.2,8.7,10.1,1936.8
FM1026,2024-12,Urban,1,1,27.7,24.8,8.5,6.3,9.5,1511.2
FM1027,2024-10,Metro,0,0,50.4,31.0,20.2,16.5,16.3,1585.8
FM1028,2024-05,Metro,1,1,58.8,53.7,25.5,8.4,3.4,2061.8
FM1029,2024-12,Urban,0,0,45.1,31.5,17.5,12.4,10.6,1208.0
FM1030,2024-06,Urban,0,0,40.0,45.6,22.0,19.7,13.7,1402.9
FM1031,2024-08,Suburban,0,1,18.3,15.7,10.4,3.0,7.0,703.8
FM1032,2024-02,Metro,0,0,42.4,29.7,12.1,7.8,15.7,1765.4
FM1033,2024-03,Urban,0,1,28.8,26.5,16.0,10.8,7.0,1254.9
FM1034,2024-07,Urban,1,1,30.7,28.8,12.4,5.1,3.5,1526.3
FM1035,2024-04,Metro,0,1,63.5,43.8,17.3,15.4,10.7,1954.0
FM1036,2024-08,Metro,0,0,46.7,52.4,19.2,16.7,7.9,2147.2
FM1037,2024-01,Urban,0,0,34.2,31.8,11.9,11.3,0.8,1416.7
FM1038,2024-04,Metro,0,1,67.8,57.9,19.1,15.2,1.7,2018.6
FM1039,2024-08,Urban,0,0,44.0,39.8,12.2,14.1,3.9,1276.8
FM1040,2024-08,Urban,1,1,33.7,22.0,7.7,9.5,14.0,1282.2
FM1041,2024-12,Suburban,0,0,27.5,25.3,10.0,5.5,16.1,830.0
FM1042,2024-11,Urban,0,0,41.0,29.2,16.3,10.3,10.0,1586.4
FM1043,2024-10,Metro,0,0,41.3,40.3,18.4,17.8,2.3,1823.6
FM1044,2024-01,Suburban,1,0,31.1,22.6,11.3,10.0,9.9,802.2
FM1045,2024-08,Suburban,1,0,20.8,18.9,6.3,5.0,15.5,669.0
FM1046,2024-03,Urban,0,1,47.7,43.4,14.0,9.1,13.6,1202.7
FM1047,2024-04,Metro,0,0,50.7,36.1,14.4,8.4,5.6,1490.4
FM1048,2024-03,Urban,0,0,33.3,29.4,14.0,6.4,2.7,1177.6
FM1049,2024-06,Metro,1,0,36.1,42.4,11.6,5.9,16.3,1896.9
FM1050,2024-02,Metro,1,1,42.4,38.1,19.8,19.4,15.4,1801.4
FM1051,2024-07,Metro,1,0,34.6,41.0,17.4,8.0,1.4,1814.7
FM1052,2024-03,Suburban,0,1,32.6,27.4,10.9,10.5,14.9,722.2
FM1053,2024-07,Urban,0,1,34.8,39.5,16.9,6.8,2.2,1530.7
FM1054,2024-08,Urban,0,1,49.5,48.1,13.2,9.5,1.6,1345.1
FM1055,2024-03,Suburban,0,1,20.3,16.8,11.0,6.0,13.8,835.5
FM1056,2024-02,Urban,0,0,52.8,38.9,18.8,10.1,9.9,2353.8
FM1057,2024-10,Urban,0,1,38.1,29.7,14.3,11.6,7.8,1255.9
FM1058,2024-09,Metro,0,0,43.5,37.7,20.3,20.2,16.3,1456.8
FM1059,2024-04,Metro,1,0,38.4,38.0,20.8,17.4,15.2,1824.2
FM1060,2024-11,Urban,1,1,29.3,37.8,17.0,6.2,1.5,1297.6
FM1061,2024-03,Urban,1,0,41.8,24.6,11.9,12.5,11.3,1530.5
FM1062,2024-12,Urban,1,1,34.0,32.2,16.4,6.6,14.0,1630.4
FM1063,2024-02,Suburban,1,0,20.3,20.0,8.2,7.5,10.1,1011.9
FM1064,2024-08,Urban,0,0,37.5,30.7,12.9,10.5,17.7,1085.8
FM1065,2024-01,Urban,0,1,40.6,31.2,16.7,8.1,12.5,1367.4
FM1066,2024-03,Urban,0,0,31.0,32.9,9.9,5.5,2.3,1501.5
FM1067,2024-05,Metro,0,1,43.4,37.1,15.8,5.9,4.0,1961.0
FM1068,2024-02,Metro,0,1,67.1,40.4,13.6,11.2,15.0,1751.6
FM1069,2024-06,Urban,1,0,30.4,24.3,9.7,13.3,17.9,1502.6
FM1070,2024-03,Metro,1,1,49.8,46.0,19.3,15.2,2.2,2001.0
FM1071,2024-02,Urban,1,0,39.2,36.9,15.2,18.7,2.3,1501.1
FM1072,2024-12,Suburban,1,1,25.9,22.7,8.3,4.2,13.9,936.2
FM1073,2024-12,Metro,1,1,58.9,35.8,14.2,14.8,1.6,2073.9
FM1074,2024-12,Metro,0,0,48.9,38.4,15.8,9.3,1.7,1836.7
FM1075,2024-02,Metro,1,1,47.5,45.9,18.9,12.3,16.1,1602.1
FM1076,2024-05,Metro,1,0,45.4,43.5,22.7,11.0,14.5,1731.4
FM1077,2024-04,Urban,1,1,34.8,38.0,8.4,7.5,15.9,1425.9
FM1078,2024-04,Urban,0,0,30.2,24.6,11.7,9.1,11.9,1282.0
FM1079,2024-06,Suburban,0,1,18.9,16.3,6.3,3.4,6.1,757.1
FM1080,2024-07,Urban,1,1,31.2,32.0,12.0,8.2,16.4,1241.0
FM1081,2024-06,Urban,0,1,29.4,26.8,10.5,9.7,5.7,1372.7
FM1082,2024-04,Suburban,0,1,18.7,15.8,6.5,3.4,5.3,831.1
FM1083,2024-12,Metro,0,0,45.9,51.4,17.3,19.4,16.0,1835.6
FM1084,2024-12,Metro,0,1,49.1,42.7,19.1,13.9,12.4,1940.1
FM1085,2024-04,Metro,0,1,42.2,43.1,17.0,17.3,16.2,1955.4
FM1086,2024-03,Urban,1,0,42.3,38.9,12.5,11.3,3.2,1546.7
FM1087,2024-07,Urban,1,1,40.7,29.0,16.9,12.6,17.2,1406.6
FM1088,2024-05,Metro,1,1,36.6,33.8,17.7,13.9,11.2,1947.3
FM1089,2024-12,Urban,0,1,40.1,25.3,11.3,13.6,12.2,1288.5
FM1090,2024-06,Metro,0,1,65.6,47.4,24.6,17.1,16.5,1913.4
FM1091,2024-01,Urban,0,0,31.5,26.3,15.5,7.3,7.2,1237.0
FM1092,2024-02,Urban,0,0,36.7,40.0,10.8,6.8,13.1,1503.9
FM1093,2024-01,Urban,0,0,28.4,26.1,13.0,10.4,11.7,1211.7
FM1094,2024-05,Metro,1,0,43.1,49.3,15.2,8.0,14.3,1736.1
FM1095,2024-04,Urban,1,1,41.7,29.1,15.5,7.5,16.2,1172.7
FM1096,2024-11,Urban,0,1,37.8,25.6,8.8,4.7,12.4,1197.6
FM1097,2024-11,Metro,0,0,37.1,36.6,17.8,12.7,1.7,1727.3
FM1098,2024-02,Metro,0,0,65.1,56.5,16.7,10.4,3.7,1916.1
FM1099,2024-12,Suburban,0,0,23.1,23.8,9.7,8.2,17.2,740.8
FM1100,2024-08,Suburban,0,1,23.3,18.2,10.5,7.7,17.5,822.5
FM1101,2024-04,Urban,0,0,38.6,35.3,11.0,12.3,17.4,1227.3
FM1102,2024-05,Metro,0,0,43.3,41.1,20.5,9.9,1.1,1749.7
FM1103,2024-06,Suburban,0,0,20.2,18.9,12.0,7.0,7.2,831.2
FM1104,2024-03,Suburban,1,0,20.7,20.5,8.9,5.7,13.8,792.8
FM1105,2024-11,Urban,0,1,41.2,27.7,8.9,8.9,13.7,1272.2
FM1106,2024-01,Urban,0,1,30.2,22.8,14.4,10.3,2.0,1308.2
FM1107,2024-01,Metro,0,1,47.0,46.4,11.9,10.2,11.2,1750.1
FM1108,2024-04,Metro,0,1,41.3,34.8,15.5,19.2,3.0,1889.7
FM1109,2024-02,Suburban,0,0,24.2,18.1,10.6,3.8,9.1,913.7
FM1110,2024-01,Urban,1,1,32.9,30.6,12.6,11.2,4.7,1581.4
FM1111,2024-05,Metro,1,1,52.0,33.5,16.5,13.6,1.4,1831.6
FM1112,2024-05,Metro,0,1,55.1,49.5,15.9,9.9,1.9,1788.6
FM1113,2024-02,Urban,0,0,35.4,31.9,13.2,10.2,16.4,1105.8
FM1114,2024-10,Metro,0,1,54.1,43.8,19.4,7.5,13.5,1872.2
FM1115,2024-11,Suburban,0,1,20.6,21.8,7.8,7.8,16.8,780.7
FM1116,2024-09,Suburban,0,0,18.7,17.4,8.2,5.3,8.7,897.4
FM1117,2024-07,Urban,1,1,38.9,45.0,11.6,6.9,7.7,1492.4
FM1118,2024-12,Urban,0,1,35.4,30.5,9.8,5.9,6.8,1300.7
FM1119,2024-05,Urban,0,1,41.5,25.9,13.6,11.8,11.3,1237.0
FM1120,2024-06,Urban,0,0,35.6,29.0,15.7,7.0,6.7,1282.3
FM1121,2024-01,Urban,0,0,36.3,26.9,8.5,11.3,13.6,1039.3
FM1122,2024-09,Metro,1,0,53.0,40.4,15.3,18.4,14.5,1718.0
FM1123,2024-02,Urban,0,1,34.6,31.1,8.5,10.9,15.8,952.4
FM1124,2024-08,Metro,0,0,43.9,29.7,19.5,9.2,4.7,1777.2
FM1125,2024-10,Urban,0,0,27.9,34.3,9.0,10.7,9.7,1422.6
FM1126,2024-03,Metro,1,1,46.2,39.9,18.0,20.0,4.4,1824.2
FM1127,2024-08,Metro,0,1,51.0,34.4,24.1,8.0,1.2,1881.6
FM1128,2024-04,Metro,0,1,37.3,32.0,9.8,9.9,12.9,1857.1
FM1129,2024-05,Urban,0,0,50.5,32.8,15.6,8.4,10.1,1158.3
FM1130,2024-07,Metro,0,1,37.5,34.2,15.4,10.5,13.2,2046.7
FM1131,2024-04,Suburban,1,1,27.8,21.5,13.6,10.5,2.0,1401.7
FM1132,2024-10,Urban,0,0,41.1,28.9,11.4,9.6,17.9,927.5
FM1133,2024-05,Metro,0,0,39.9,35.3,15.3,13.6,17.9,1682.1
FM1134,2024-06,Urban,0,0,40.5,28.6,9.0,7.6,8.6,1101.7
FM1135,2024-10,Metro,0,0,54.1,40.7,20.4,8.5,15.7,1552.1
FM1136,2024-03,Suburban,0,1,21.4,20.8,10.9,5.3,4.8,879.7
FM1137,2024-06,Urban,1,0,32.5,24.1,7.5,10.9,13.4,1342.9
FM1138,2024-12,Suburban,0,1,20.9,13.9,6.3,5.8,15.9,836.6
FM1139,2024-05,Metro,0,1,54.6,33.5,22.3,11.6,14.8,1763.3
FM1140,2024-02,Urban,0,0,49.1,32.4,9.3,14.9,14.7,1126.8
FM1141,2024-04,Urban,1,1,46.8,41.7,12.6,6.5,8.6,1657.4
FM1142,2024-12,Suburban,0,1,34.8,35.7,12.1,6.8,14.8,726.7
FM1143,2024-10,Urban,0,0,39.6,44.3,12.9,8.3,12.6,1126.6
FM1144,2024-10,Urban,0,1,35.3,28.4,9.4,13.0,2.8,1645.9
FM1145,2024-04,Metro,0,1,58.2,43.2,16.5,15.8,2.5,1789.4
FM1146,2024-11,Metro,1,0,57.8,44.2,14.6,16.6,14.0,1828.9
FM1147,2024-05,Urban,0,0,44.7,40.9,14.9,5.6,11.4,1288.1
FM1148,2024-10,Urban,0,0,34.3,34.2,14.1,6.4,9.6,1445.2
FM1149,2024-11,Metro,0,1,57.3,52.2,19.1,15.7,16.4,1954.8
FM1150,2024-03,Suburban,0,1,25.1,21.5,5.0,4.9,12.0,884.7
FM1151,2024-12,Suburban,0,0,15.3,14.9,7.8,6.7,7.4,621.9
FM1152,2024-08,Metro,0,1,42.9,47.4,12.7,16.4,7.7,1665.0
FM1153,2024-09,Urban,0,1,35.8,34.9,14.7,8.9,11.1,1403.2
FM1154,2024-10,Metro,1,1,46.7,37.1,14.6,15.7,13.8,1878.1
FM1155,2024-03,Urban,1,1,40.2,40.5,16.5,15.4,10.4,1508.5
FM1156,2024-09,Metro,0,1,39.5,33.9,12.9,12.3,9.4,1837.1
FM1157,2024-03,Urban,1,0,36.7,40.6,10.0,11.6,13.2,1240.1
FM1158,2024-04,Urban,1,0,41.7,39.4,14.0,15.3,12.8,2056.6
FM1159,2024-02,Suburban,0,1,42.7,29.1,9.2,8.2,15.0,853.5
FM1160,2024-03,Metro,0,0,51.8,45.3,13.3,18.0,1.6,1956.0
FM1161,2024-12,Suburban,0,1,33.0,20.7,12.3,4.8,13.7,939.1
FM1162,2024-04,Metro,0,1,53.3,49.1,22.0,15.4,9.5,1748.2
FM1163,2024-05,Metro,0,0,56.6,50.0,11.9,17.3,1.8,1802.2
FM1164,2024-06,Urban,0,1,37.5,32.4,16.0,10.6,12.4,1433.4
FM1165,2024-09,Urban,1,0,37.4,37.2,15.7,9.8,13.0,1598.4
FM1166,2024-07,Suburban,0,1,22.9,15.5,9.8,6.5,9.7,870.1
FM1167,2024-07,Suburban,1,1,24.3,22.4,11.5,5.0,14.4,893.8
FM1168,2024-11,Metro,0,1,42.0,38.4,18.2,8.8,5.8,1862.4
FM1169,2024-06,Suburban,0,1,17.9,12.1,6.2,3.6,4.0,1009.0
FM1170,2024-10,Metro,1,0,53.9,39.7,18.2,13.7,6.6,1814.6
FM1171,2024-11,Urban,0,0,35.8,25.8,15.3,8.4,7.7,1444.2
FM1172,2024-09,Metro,0,1,39.2,38.6,11.3,9.3,12.7,1641.1
FM1173,2024-01,Suburban,0,1,23.2,18.7,6.6,8.2,15.3,803.9
FM1174,2024-04,Metro,0,0,41.7,47.8,10.9,10.9,13.1,1532.1
FM1175,2024-08,Metro,0,0,53.1,37.6,22.6,12.2,3.5,1831.7
FM1176,2024-06,Urban,0,1,38.2,34.6,11.2,8.2,6.9,1385.9
FM1177,2024-04,Suburban,0,1,26.1,21.1,9.9,4.6,3.3,804.5
FM1178,2024-05,Suburban,0,1,42.7,32.9,18.0,13.5,12.5,826.9
FM1179,2024-01,Urban,0,1,34.8,32.2,17.7,9.4,4.8,1764.9
FM1180,2024-03,Suburban,0,1,20.4,17.4,5.3,2.9,9.7,944.1
